Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain,lab_host,sample_type,collected_by,Host_disease
SRR22385593,AMPLICON,302,49897950,PRJNA894555,SAMN31494320,Viral,16988519,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355697,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F.3.C2-1.P20,turbinate,P73_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:00:00Z,1,Ferret.Paxlovid_study_3.Source_Contact_2.Ferret_#1.endpoint,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385594,AMPLICON,302,129125536,PRJNA894555,SAMN31494319,Viral,43524361,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355696,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F.3.C1-3.veh,turbinate,P72_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Ferret.Paxlovid_study_3.Source_Contact_1.Ferret_#3.endpoint,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385595,AMPLICON,302,90136128,PRJNA894555,SAMN31494318,Viral,30305201,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355695,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F.3.C1-2.veh,turbinate,P71_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Ferret.Paxlovid_study_3.Source_Contact_1.Ferret_#2.endpoint,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385596,AMPLICON,302,147657766,PRJNA894555,SAMN31494307,Viral,49212842,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355694,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F.3.S1-3.veh,turbinate,P60_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Ferret.Paxlovid_study_3.Source_Group_1.Ferret_#3.endpoint,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385597,AMPLICON,302,171842832,PRJNA894555,SAMN31494302,Viral,58911685,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355693,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F.2.3-1.P100,turbinate,P55_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Ferret.Paxlovid_study_2.Group_3.Ferret_#1.endpoint,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385598,AMPLICON,302,1994455112,PRJNA894555,SAMN31494299,Viral,690543805,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18355692,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F.2.2-1.P20,turbinate,P52_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:04:00Z,1,Ferret.Paxlovid_study_2.Group_2.Ferret_#1.endpoint,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385599,AMPLICON,302,2898887430,PRJNA894555,SAMN31494292,Viral,1039923511,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355691,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F.1.1-3.veh,turbinate,P45_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:04:00Z,1,Ferret.Paxlovid_study_1.Group_1.Ferret_#3.endpoint,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385600,AMPLICON,302,1467164320,PRJNA894555,SAMN31494289,Viral,487220949,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355690,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.F5.P250,lung homogenate,P42_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:03:00Z,1,Hamster.Paxlovid_study_omicron.Group_3.hamster_female5.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385601,AMPLICON,302,2256653324,PRJNA894555,SAMN31494287,Viral,809145629,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18355689,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.F3.P250,lung homogenate,P40_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:04:00Z,1,Hamster.Paxlovid_study_omicron.Group_3.hamster_female3.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385602,AMPLICON,302,515034424,PRJNA894555,SAMN31494286,Viral,171385289,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355688,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.F2.P250,lung homogenate,P39_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Hamster.Paxlovid_study_omicron.Group_3.hamster_female2.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385603,AMPLICON,302,116123832,PRJNA894555,SAMN31494251,Viral,38365511,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355687,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.D.F1.Veh,lung homogenate,P04_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Hamster.Paxlovid_study_delta.Group_1.hamster_female1.endpoint,SRP404710,,Roborovski dwarf hamster,,,
SRR22385604,AMPLICON,302,720388988,PRJNA894555,SAMN31494285,Viral,235993020,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355686,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.F1.P250,lung homogenate,P38_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:02:00Z,1,Hamster.Paxlovid_study_omicron.Group_3.hamster_female1.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385605,AMPLICON,302,1095845354,PRJNA894555,SAMN31494284,Viral,357864893,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355685,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M5.P250,lung homogenate,P37_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:02:00Z,1,Hamster.Paxlovid_study_omicron.Group_3.hamster_male5.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385606,AMPLICON,302,2035644590,PRJNA894555,SAMN31494283,Viral,673188346,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355684,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M4.P250,lung homogenate,P36_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:04:00Z,1,Hamster.Paxlovid_study_omicron.Group_3.hamster_male4.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385607,AMPLICON,302,329380830,PRJNA894555,SAMN31494282,Viral,108185277,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355683,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M3.P250,lung homogenate,P35_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Hamster.Paxlovid_study_omicron.Group_3.hamster_male3.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385608,AMPLICON,302,1201626894,PRJNA894555,SAMN31494281,Viral,395762035,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355682,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M2.P250,lung homogenate,P34_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:03:00Z,1,Hamster.Paxlovid_study_omicron.Group_3.hamster_male2.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385609,AMPLICON,302,1435674176,PRJNA894555,SAMN31494280,Viral,470669533,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355681,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M1.P250,lung homogenate,P33_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:03:00Z,1,Hamster.Paxlovid_study_omicron.Group_3.hamster_male1.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385610,AMPLICON,302,209855572,PRJNA894555,SAMN31494279,Viral,68915007,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355680,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.F5.P125,lung homogenate,P32_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Hamster.Paxlovid_study_omicron.Group_2.hamster_female5.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385611,AMPLICON,302,404435380,PRJNA894555,SAMN31494278,Viral,134448265,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355679,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.F4.P125,lung homogenate,P31_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:02:00Z,1,Hamster.Paxlovid_study_omicron.Group_2.hamster_female4.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385612,AMPLICON,302,813199930,PRJNA894555,SAMN31494277,Viral,276471411,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355678,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.F3.P125,lung homogenate,P30_reprep,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:03:00Z,1,Hamster.Paxlovid_study_omicron.Group_2.hamster_female3.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385613,AMPLICON,302,211938164,PRJNA894555,SAMN31494276,Viral,69751653,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355677,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.F2.P125,lung homogenate,P29_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Hamster.Paxlovid_study_omicron.Group_2.hamster_female2.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385614,AMPLICON,302,53296054,PRJNA894555,SAMN31494250,Viral,17725947,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355676,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.D.M3.Veh,lung homogenate,P03_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Hamster.Paxlovid_study_delta.Group_1.hamster_male3.endpoint,SRP404710,,Roborovski dwarf hamster,,,
SRR22385615,AMPLICON,302,388583400,PRJNA894555,SAMN31494275,Viral,133980117,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355675,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.F1.P125,lung homogenate,P28_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:02:00Z,1,Hamster.Paxlovid_study_omicron.Group_2.hamster_female1.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385616,AMPLICON,302,233202588,PRJNA894555,SAMN31494274,Viral,76363434,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355674,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M5.P125,lung homogenate,P27_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Hamster.Paxlovid_study_omicron.Group_2.hamster_male5.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385617,AMPLICON,302,102760634,PRJNA894555,SAMN31494273,Viral,33544488,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355673,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M4.P125,lung homogenate,P26_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Hamster.Paxlovid_study_omicron.Group_2.hamster_male4.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385618,AMPLICON,302,460204210,PRJNA894555,SAMN31494271,Viral,151399430,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355672,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M2.P125,lung homogenate,P24_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Hamster.Paxlovid_study_omicron.Group_2.hamster_male2.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
